file_path, line, prop_name
"./VCVio/CryptoFoundations/AsymmEncAlg.lean", 55, "PerfectlyCorrect_iff"
"./VCVio/CryptoFoundations/AsymmEncAlg.lean", 102, "probOutput_IND_CPA_experiment_eq_add"
"./VCVio/CryptoFoundations/AsymmEncAlg.lean", 131, "decryptionOracle.apply_eq"
"./VCVio/CryptoFoundations/Asymptotics/Negligible.lean", 27, "negligible_zero"
"./VCVio/CryptoFoundations/Asymptotics/Negligible.lean", 29, "negligible_of_zero"
"./VCVio/CryptoFoundations/Fork.lean", 24, "probOutput_prod_mk_seq_map_eq_mul"
"./VCVio/CryptoFoundations/Fork.lean", 30, "probOutput_prod_mk_seq_map_eq_mul'"
"./VCVio/CryptoFoundations/Fork.lean", 35, "probOutput_prod_mk_apply_seq_map_eq_mul"
"./VCVio/CryptoFoundations/Fork.lean", 41, "probOutput_prod_mk_apply_seq_map_eq_mul'"
"./VCVio/CryptoFoundations/Fork.lean", 47, "probOutput_bind_bind_prod_mk_eq_mul"
"./VCVio/CryptoFoundations/Fork.lean", 54, "probOutput_bind_bind_prod_mk_eq_mul'"
"./VCVio/CryptoFoundations/Fork.lean", 60, "map_ite"
"./VCVio/CryptoFoundations/Fork.lean", 64, "probFailure_bind_eq_sum_probFailure"
"./VCVio/CryptoFoundations/Fork.lean", 70, "probOutput_map_eq_probEvent"
"./VCVio/CryptoFoundations/Fork.lean", 76, "probOutput_prod_mk_fst_map"
"./VCVio/CryptoFoundations/Fork.lean", 81, "probOutput_prod_mk_snd_map"
"./VCVio/CryptoFoundations/Fork.lean", 86, "probOutput_prod_mk_fst_map'"
"./VCVio/CryptoFoundations/Fork.lean", 92, "probOutput_prod_mk_snd_map'"
"./VCVio/CryptoFoundations/Fork.lean", 97, "probOutput_bind_ite_failure_eq_tsum"
"./VCVio/CryptoFoundations/Fork.lean", 141, "support_map_prod_map_fork"
"./VCVio/CryptoFoundations/Fork.lean", 145, "finSupport_map_prod_map_fork"
"./VCVio/CryptoFoundations/Fork.lean", 149, "apply_eq_apply_of_mem_support_fork"
"./VCVio/CryptoFoundations/Fork.lean", 153, "probOutput_none_map_fork_left"
"./VCVio/CryptoFoundations/Fork.lean", 157, "probOutput_none_map_fork_right"
"./VCVio/CryptoFoundations/Fork.lean", 161, "exists_log_of_mem_support_fork"
"./VCVio/CryptoFoundations/Fork.lean", 172, "le_probOutput_fork"
"./VCVio/CryptoFoundations/Fork.lean", 348, "probFailure_fork_le"
"./VCVio/CryptoFoundations/HardnessAssumptions/LWE.lean", 108, "LWE_Experiment_eq_LWE_Game_01"
"./VCVio/CryptoFoundations/SecExp.lean", 42, "ProbComp.advantage_eq_half_sub_probFailure"
"./VCVio/CryptoFoundations/SecExp.lean", 50, "ProbComp.advantage_eq_half_of_sub"
"./VCVio/CryptoFoundations/SecExp.lean", 69, "ProbComp.advantage₂_self"
"./VCVio/CryptoFoundations/SecExp.lean", 73, "ProbComp.advantage₂_comm"
"./VCVio/CryptoFoundations/SecExp.lean", 79, "ProbComp.advantage₂_eq_abs_sub_probFailure"
"./VCVio/CryptoFoundations/SymmEncAlg.lean", 61, "perfectSecrecy_iff_of_card_eq"
